A;;;AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA
;;;Excluye: La extracción de minerales estimados principalmente por su contenido de sustancias químicas, por ejemplo, la pirita y la pirrotina se incluye en la clase 1329 (Explotación de otras minas y canteras n.c.p).
;;; La producción de alúmina y de cobre se incluye en la clase 3220 (Fabricación de productos primarios de metales preciosos y de metales no ferrosos)  la producción de matas de níquel  se incluye en la clase 3221 (fabricación de productos primarios del níquel).
;13;;EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS
;;1310;Extracción de piedra, arena y arcilla
;;;En esta clase se incluye la explotación de canteras que producen piedra de construcción de talla sin labrar, excepto por haber sido desbastada o simplemente cortada mediante aserrado u otros medios propios de la cantera para obtener productos tales como pizarra, mármol, granito, etc.
;;;Extracción de esteatita (talco), piedra caliza, asbesto, etc. Trituración y fragmentación de piedra para utilizarla como fúndente y materia prima en la fabricación de cal y de cemento, o como material de construcción, afirmado de carreteras,  así como la extracción de yeso y de anhidrita.
;;;Extracción de arcillas para la industria de la cerámica y la industria de productos refractarios, para lodos de sondeo y  para su uso como medio filtrante.
;;;Explotación de graveras y de canteras de arena.
;;;Excluye: La explotación de minas de sal se incluye en la clase 1322 (Extracción de sal).
;;;La extracción y explotación de materiales estimados principalmente por su contenido de sustancias químicas y la explotación de otros minerales no metalíferos se incluye en la clase 1329 (Explotación de otras minas y canteras n.c.p.).
;;1320;Extracción y aglomeración de minerales energéticos sólidos 
;;;En esta clase se incluye la extracción de minerales energéticos sólidos, por ejemplo: turba  u otro mineral con esas características.  Fabricación de briquetas y otros combustibles sólidos.
;;1322;Extracción de sal 
;;;En esta clase se incluye la extracción y las operaciones de evaporación, incluidas la molienda, cribado y refinación.
;;1329;Explotación de otras minas y canteras n.c.p.
;;;En esta clase se incluye la extracción en minas y canteras de minerales y otros materiales no clasificados en otra parte: materiales abrasivos  piedras preciosas  asbesto  polvo de fósiles silíceos, vermiculita y materiales similares estimados  por su alta relación volúmen-peso  feldespato, grafito natural y otros fundentes naturales.
;;;Extracción de asfalto y betún natural,  asfaltitas y rocas asfálticas.
;;;Incluye la extracción de minerales estimados principalmente por su contenido de nitrógeno, potasio o fósforo.
;;;Se incluye la recolección de guano.
;;;Extracción de azufre nativo y de pirita y pirrotina, estimados principalmente por su contenido de azufre.
;;;Extracción de minerales que contienen boro natural.
;;;Extracción de otros minerales estimados principalmente como fuentes de sustancias químicas, por ejemplo tierras colorantes y fluorita.
;;;Excluye: La explotación de minas de sal se incluye en la clase 1322 (Extracción de sal).   La fabricación de abonos sintéticos y compuestos de nitrógeno se incluye en la clase 2700 (Fabricación de fertilizantes y compuestos de nitrógeno).
D;;;INDUSTRIA AZUCARERA
;;;(División 14)
;14;;INDUSTRIA AZUCARERA
;;1410;Elaboración de azúcar
;;;En esta clase se incluye el procesamiento de la caña de azúcar para la obtención de sus productos primarios: azúcar, mieles, bagazo integral, cachaza, etc.
;;;También incluye el beneficio (despaje, trozado, limpieza, etc.) que se realiza a la caña de azúcar en instalaciones industriales (centros de acopio).
;;;Excluye: La fabricación de glucosa y otros azucares a partir de almidones se incluye en la clase 1531 (Elaboración de productos de molinería y almidones).
E;;;INDUSTRIA MANUFACTURERA (EXCEPTO INDUSTRIA AZUCARERA) 
;;;(División 15-39) 
;;;Se entiende por industria manufacturera la transformación física y química de materiales y componentes en productos nuevos, ya sea que el trabajo se efectúe con máquinas o a mano, en la fabrica o en el domicilio, o que los productos se vendan al por mayor o al por menor.
;;;"El montaje ""in situ"" de partes prefabricadas de puentes, depósitos de agua, instalaciones de depósito y almacenamiento, estructuras aéreas y de ferrocarril, ascensores y escaleras mecánicas, tuberías, extintores, ventilación y acondicionamiento de aire, instalaciones de electricidad, etc., componentes de edificios y toda clase de estructuras, clasifica en la Sección G (Construcción)."
;;;El montaje y la instalación de maquinarias y equipos en minas, fabricas, edificios comerciales y otros establecimientos, cuando consisten en una actividad especializada, se incluyen en la clase correspondiente a la industria manufacturera de tal maquinaria y equipo.
;;;El montaje y la instalación de maquinarias y equipos realizados como un servicio conexo de la venta de los productos por una unidad que se dedica principalmente a la fabricación o al comercio al por mayor o al por menor se incluyen en la clase correspondiente a la actividad principal realizada por tal unidad.
;;;Las actividades de unidades que se dedican principalmente a mantener y reparar maquinarias y equipos industriales, comercial y de índole similar se incluyen , por regla general, en la misma clase de industria manufacturera que la de las entidades que se especializan en la producción de esos bienes. Sin embargo, las entidades que se dedican a reparar maquinaria de oficina e informática se incluyen en la clase 7050 (Mantenimiento y reparación de maquinarias de oficina e informática y otras actividades de informática).
;;;La reparación de aparatos, equipos y mobiliario domésticos, vehículos automotores y otros bienes de consumo se incluye, por regla general, en la clase pertinente de la división 50 (Venta, mantenimiento y reparación de vehículos automotores  venta de combustible para vehículos automotores) o en la División 53 (Comercio minorista  reparación de efectos personalesy enseres domésticos).
;;;Las modificaciones, renovaciones y reconstrucciones importantes de bienes se consideran parte de la industria manufacturera.
;;;La fabricación de componentes, piezas, accesorios y aditamentos especiales de maquinaria y equipo se incluye, de manera general, en la clase correspondiente a la fabricación de la maquinaria y el equipo a que se destinan esos componentes, piezas, accesorios y aditamentos.
;;;Sin embargo, la fabricación de componentes y accesorios especiales mediante el moldeado o la extrusión de materiales plásticos se incluye en la clase 2920 (Fabricación de productos  de plásticos).
;;;La fabricación de piezas y componentes no especiales como motores, émbolos, motores eléctricos, ensambladuras eléctricas, válvulas, engranajes se incluye en la clase pertinente de la industria manufacturera, sin tener en cuenta la maquinaria y el equipo al que se destinen.
;;;También se incluye el reciclamiento de desperdicios.
;15;;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
;;1511;Producción de carne y de productos cárnicos
;;;En esta clase se incluyen las actividades de matanza, la preparación y conservación de carne bovina, cerdo, oveja, cabra, caballo, aves de corral, conejo y caza menor.
;;;Producción y conservación de carne y de productos cárnicos mediante procesos tales como desecación, ahumado, saladura, inmersión en salmuera y enlatado. Se incluye la producción de embutidos. Extracción y refinación de manteca de cerdo y otras grasas comestibles de origen animal. Producción de chicharrones.
;;;Producción de harinas, piensos y de despojos de carne.
;;;Las actividades de matanza incluyen la producción de cueros y pieles sin curtir y otros subproductos conexos, tales como lana de matadero, plumas y plumones, dientes y huesos.
;;;Excluye: La elaboración de sopas que contienen carne se incluye en la clase 1549 (Elaboración de otros productos alimenticios n.c.p.).
;;1512;Elaboración y conservación de pescado y otros productos marinos
;;;En esta clase se incluye la conservación de pescado y de productos marinos (camarones, langostas, ostras, almejas, cangrejos, etc.) mediante procesos como desecación, ahumado, saladura, inmersión en salmuera y enlatado. Producción de pescado cocido, pasta y otros derivados. 
;;;Producción de filetes y huevas de pescado, frescos, refrigerados o congelados. Producción de pescado congelado, incluso pescado trozado, picado  para consumo humano.
;;;Conservación de crustáceos y moluscos mediante congelación y otros medios, como desecación, ahumado, saladura, inmersión en salmuera, cocción en salsas e inmersión en vinagre.
;;;Producción de harinas y otras sustancias solubles de pescado, crustáceos y moluscos y otros animales acuáticos no aptas para consumo humano.
;;;Se incluye además las actividades de elaboración y conservación de pescados y productos del mar que se realiza en buques fábricas.
;;;Excluye: La pesca y elaboración en los propios buques pesqueros de sus capturas de peces, se incluye en la clase 0800 (Pesca).
;;;La producción de aceites y grasas a partir de materias marinas se incluye en la clase 1514 (Elaboración de aceites y grasas de origen vegetal y animal).
;;;La elaboración de sopas que contienen pescado, crustáceos o moluscos, así como laproducción de extractos de pescado, se incluye en la clase 1549 (Elaboración de otros productos alimenticios n.c.p.). 
;;1513;Elaboración de frutas y vegetales
;;;Esta clase abarca la elaboración de alimentos compuestos principalmente de frutas, legumbres u hortalizas.
;;;Preparación y conservación de jugos de frutas y de legumbres.
;;;Elaboración de pasas y frutas secas, mermeladas, jaleas, frutas en almíbar, encurtidos y salsas, sopas de vegetales enlatados, compotas y la deshidratación y congelación rápida de frutas y hortalizas.
;;;Beneficio para mejorar el aspecto exterior de las frutas, tales como el parafinado de la superficie, el coloreado artificial, etc.
;;;Excluye: La elaboración de harina se incluye en la clase 1531 (Elaboración de productos de molinería y almidones).
;;1514;Elaboración de aceites y grasas de origen vegetal y animal
;;;En esta clase se incluye la elaboración de aceites y grasas a partir de sustancias animales y vegetales, excepto la extracción y refinación de grasa de cerdo y otras grasas comestibles de origen animal.
;;;Producción de aceites vegetales, incluso aceites extraídos de semillas oleaginosas sin modificar químicamente.
;;;Preparación de tortas y otros productos residuales de la producción de aceite.
;;;Producción de aceite de ricino.
;;;Producción de ceras de origen vegetal, excepto los triglicéridos  residuos resultantes del tratamiento de sustancias grasas o ceras de origen animal o vegetal.
;;;Producción de harina y sémola sin desgrasar de semillas, nueces y almendras oleaginosas. Producción de margarina y otros aceites de mesa y grasas para cocinado.
;;;Excluye: La extracción y refinación de manteca de cerdo y otras grasas comestibles de origen animal se incluye en la clase 1511 (Producción de carne y de productos cárnicos).
;;1520;Elaboración de productos lácteos
;;;Esta clase incluye la elaboración de leche condensada, evaporada y en polvo  refrigeración de leche fresca, pasteurización, esterilización, homogeneización, enriquecimiento y envasado de leche liquida para distribución y maternización de la leche.
;;;Producción de queso y cuajada  fresco, curado, de pasta dura o fluido.
;;;Producción de helado y otros productos comestibles similares con crema o sin ellos.
;;;Producción de yogur y otros tipos de leche o crema fermentados o acidificados.
;;;Producción de mantequilla natural y desecada.
;;;Excluye: La producción de leche cruda se incluye en la clase 0311 (Cría de ganado bovino).
;;1531;Elaboración de productos de molinería y almidones
;;;En esta clase se incluye la molienda de cereales, como harina, semolina, sémola y gránulos de trigo, avena, maíz y otros cereales. Molienda de arroz: arroz descascarillado, molido, pulido, blanqueado, semicocido o convertido.  Producción de harina de arroz. Molienda de legumbres: harina y sémola de leguminosas desecadas, de raíces y tubérculos, y de nueces comestibles.
;;;Elaboración de alimentos para el desayuno mediante el tostado o la insuflación de granos de cereales o mediante el maceramiento, perlado, hojaldrado y pulimento de granos.
;;;Elaboración de harina y de masa mezclada y preparada para la fabricación de pan, pasteles, bizcochos, panqué, etc.
;;;Abarca además la elaboración de almidones: almidones de maíz, arroz y otros granos, de papa, de yuca y de otras materias vegetales.
;;;Molienda de  maíz tierno y producción de aceite de maíz, sin modificar químicamente.
;;;Elaboración de glucosa, jarabe de glucosa y maltosa. Se incluye la elaboración de gluten.
;;;Excluye: La elaboración de azúcar en ingenios azucareros y la producción de sacarosa en refinerías se incluye en la clase 1410 (Elaboración de azúcar).
;;;La elaboración de miel artificial, caramelo e inulina, se incluye en la clase 1549 (Elaboración de otros productos alimenticios n.c.p.)
;;1533;Elaboración de piensos preparados
;;;Esta clase incluye la producción de alimentos preparados para animales domésticos: alimentos compuestos de mezclas de varios ingredientes tratados especialmente para que sean un alimento adecuado para perros, gatos, aves y otros animales domésticos.
;;;Elaboración de alimentos preparados principalmente para animales de granja, alimentos concentrados, forraje edulcorado y alimentos suplementarios.
;;;Excluye: La producción de harina de pescado para su uso como alimento para animales se incluye en la clase 1512 (Elaboración y conservación de pescado y otros productos marinos).
;;;Las actividades que dan por resultado la producción de subproductos que sirven de alimento para animales sin necesidad de tratamiento y elaboración posterior se clasifican junto con las de las industrias en que esos subproductos tienen su origen  por ejemplo, la producción de tortas de semilla de maíz se incluye en la clase 1514 (Elaboración de aceites y grasas de origen vegetal y animal) y la de residuos de molinería en la clase 1531 (Elaboración de productos de molinería y almidones)
;;1541;Elaboración de productos  de panadería
;;;En esta clase se incluye la elaboración de productos de panadería frescos, congelados o secos: pan y sus diferentes tipos. Pasteles, galletas, tortas, pasteles de frutas, tartas y otros confites. Bizcochos y otros productos secos de panadería.
;;;Excluye:  La fabricación de masa mezclada y preparada se incluye en la clase 1531 (Elaboración de productos de molinería y almidones)
;;;La fabricación de productos conocidos como pastas se incluye en la clase 1542 (Elaboración de macarrones y fideos y productos de pastas cocidas o no).
;;1542;Elaboración de macarrones y fideos y productos de pastas cocidas o no
;;;Esta clase incluye la elaboración de productos farináceos sin cocer: espaguetis, macarrones, fideos y otros productos de pasta para preparar lasaña, canelones, ravioles, etc.
;;;Elaboración de pastas rellenas, cocidas o sin cocer.  Elaboración de otros productos de pastas cocidas. 
;;;Elaboración de productos de pastas conservadas en recipientes herméticos.
